Audio File,Item,Weight,Radius,Height,Moment of inertia,On:,Period,← obtained by taking the difference of consecutive peaks in the other dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapewood1.m4a,Tape ,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Wood bench,0.246,0.292,0.202,0.203,0.214,0.191,0.202,0.187,0.183,0.179,0.168,0.156,0.151,0.148,0.141,0.12,0.129,0.128,0.113,0.105,0.112,0.056,0.077,0.076,0.069,0.062,0.057,0.034,,,,,,,,,,,,,,,
tapewood2.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Wood bench,0.214,0.222,0.229,0.23,0.195,0.195,0.186,0.168,0.183,0.179,0.191,0.152,0.117,0.097,0.07,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,
tapewood3.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Wood bench,0.221,0.217,0.201,0.213,0.202,0.183,0.186,0.172,0.167,0.164,0.159,0.149,0.148,0.137,0.141,0.118,0.11,0.115,0.106,0.099,0.099,0.084,0.076,0.084,0.068,0.053,0.057,0.05,,,,,,,,,,,,,,,
tapemetal1.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Metal Table,0.22,0.23,0.189,0.182,0.187,0.176,0.173,0.156,0.148,0.137,0.129,0.126,0.119,0.113,0.113,0.101,0.097,0.083,0.077,0.069,0.068,0.061,0.05,0.046,0.045,0.057,,,,,,,,,,,,,,,,,
tapemetal2.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Metal Table,0.237,0.243,0.206,0.189,0.219,0.186,0.176,0.179,0.165,0.155,0.149,0.142,0.135,0.145,0.145,0.108,0.122,0.098,0.108,0.104,0.092,0.084,0.086,0.074,0.075,0.067,0.054,0.049,0.044,0.044,,,,,,,,,,,,,
tapemetal3.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Metal Table,0.216,0.261,0.195,0.208,0.244,0.202,0.207,0.191,0.189,0.175,0.168,0.157,0.176,0.163,0.156,0.146,0.131,0.128,0.119,0.119,0.117,0.121,0.109,0.109,0.099,0.086,0.08,0.08,0.07,0.068,0.064,0.058,0.046,0.054,,,,,,,,,
tapecounter.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Fake Marble Countertop,0.243,0.217,0.208,0.207,0.202,0.191,0.19,0.18,0.167,0.152,0.157,0.146,0.136,0.164,0.135,0.114,0.1,0.098,0.087,0.071,0.069,0.05,,,,,,,,,,,,,,,,,,,,,
tapeglass1.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Glass stovetop,0.159,0.172,0.205,0.217,0.182,0.164,0.186,0.165,0.172,0.167,0.17,0.178,0.168,0.157,0.151,0.149,0.145,0.138,0.155,0.135,0.138,0.12,0.112,0.114,0.103,0.108,0.114,0.103,0.097,0.083,0.081,0.083,0.064,0.07,0.06,0.052,0.06,0.036,0.056,0.03,0.037,0.029,0.038
tapeglass2.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Glass stovetop,0.208,0.208,0.185,0.192,0.208,0.202,0.181,0.197,0.181,0.185,0.185,0.178,0.165,0.174,0.163,0.169,0.147,0.151,0.147,0.138,0.146,0.125,0.133,0.126,0.122,0.112,0.107,0.112,0.104,0.094,0.098,0.083,0.083,0.066,0.073,0.062,0.059,0.052,0.051,0.042,0.037,,
tapeglass3.m4a,Tape,100g,"5.75cm, 3.75",2.4cm,2.36E-04,Glass stovetop,0.23,0.194,0.196,0.188,0.187,0.179,0.182,0.17,0.168,0.166,0.156,0.156,0.165,0.148,0.144,0.142,0.143,0.127,0.132,0.111,0.122,0.115,0.115,0.098,0.099,0.093,0.093,0.074,0.079,0.082,0.074,0.06,0.061,0.05,0.05,0.038,0.038,0.049,,,,,
smallpot1.m4a,Pot Lid,122g,6.5cm,,0.000257725,Wood Bench,0.239,0.242,0.21,0.215,0.197,0.192,0.171,0.181,0.149,0.155,0.137,0.124,0.126,0.12,0.115,0.108,0.093,0.109,0.091,0.082,0.077,0.081,0.072,0.06,,,,,,,,,,,,,,,,,,,
smallpot2.m4a,Pot Lid,122g,6.5cm,,0.000257725,Wood Bench,0.252,0.251,0.217,0.216,0.215,0.233,0.195,0.209,0.212,0.204,0.178,0.221,0.147,0.195,0.159,0.159,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,
medpot1.m4a,Pot Lid,188g,8.75cm,,0.001439375,Wood Bench,0.286,0.253,0.243,0.223,0.211,0.221,0.187,0.2,0.171,0.166,0.16,0.136,0.222,0.136,0.128,0.134,0.125,0.143,0.15,0.121,0.107,0.108,0.106,0.109,0.127,0.103,0.083,0.093,0.076,0.074,,,,,,,,,,,,,
medpot2.m4a,Pot Lid,188g,8.75cm,,0.001439375,Wood Bench,0.286,0.289,0.236,0.239,0.226,0.216,0.229,0.216,0.187,0.177,0.174,0.169,0.13,0.137,0.114,0.148,0.17,0.137,0.143,0.104,0.196,0.138,0.124,actually incomprehensible after here,,,,,,,,,,,,,,,,,,,
lighttape1.m4a,Tape,20g,"4.325cm, 3.75",1.7cm,3.28E-05,Wood Bench,0.227,0.225,0.212,0.231,0.233,0.239,0.222,0.225,0.225,0.214,0.209,0.223,0.195,0.195,0.198,0.182,0.176,0.171,0.182,0.163,0.162,0.149,0.144,0.157,0.125,0.136,0.133,0.125,0.111,0.125,0.094,0.12,0.1,0.095,0.094,0.077,0.085,0.068,0.068,0.056,0.047,,
lighttape2.m4a,Tape,20g,"4.325cm, 3.75",1.7cm,3.28E-05,Wood Bench,0.182,0.241,0.183,0.243,0.208,0.252,0.256,0.242,0.228,0.247,0.228,0.204,0.218,0.204,0.2,0.185,0.18,0.19,0.147,0.161,0.157,0.147,0.152,0.138,0.118,0.138,0.126,0.114,0.121,0.097,0.109,0.095,0.088,0.083,0.083,0.067,0.07,0.054,0.03,0.039,0.043,,
lighttape3.m4a,Tape,20g,"4.325cm, 3.75",1.7cm,3.28E-05,Wood Bench,0.266,0.226,0.242,0.245,0.241,0.23,0.199,0.222,0.186,0.192,0.189,0.182,0.183,0.169,0.164,0.167,0.163,0.142,0.119,0.027,0.031,,,,,,,,,,,,,,,,,,,,,,
lighttape4.m4a,Tape,20g,"4.325cm, 3.75",1.7cm,3.28E-05,Wood Bench,0.254,0.259,0.277,0.227,0.23,0.228,0.208,0.186,0.196,0.173,0.171,0.171,0.161,0.152,0.147,0.135,0.132,0.126,0.114,0.116,0.104,0.1,0.088,0.092,0.073,0.059,0.062,0.045,,,,,,,,,,,,,,,
smalltape1.m4a,Tape,34g,"2.75cm, 1.35cm",1.9cm,1.60E-05,Wood Bench,0.138,0.134,0.14,0.129,0.138,0.173,0.132,0.151,0.137,0.126,0.161,0.123,0.137,0.1,0.149,0.146,0.138,0.127,0.12,0.121,0.121,0.107,0.1,0.096,0.093,0.074,0.057,0.073,0.065,0.075,0.055,0.054,0.039,0.042,0.03,,,,,,,,
smalltape2.m4a,Tape,34g,"2.75cm, 1.35cm",1.9cm,1.60E-05,Wood Bench,0.177,0.149,0.142,0.154,0.139,0.144,0.139,0.146,0.146,0.121,0.107,0.123,0.111,0.111,0.112,0.104,0.107,0.101,0.088,0.1,0.086,0.081,0.078,0.067,0.065,0.057,0.057,0.042,0.041,0.029,,,,,,,,,,,,,
largelid1.m4a,Pot Lid,267g,11.5 cm,,0.0017655375,Wood Bench,0.213,0.209,0.207,0.183,0.165,0.14,0.139,0.14,0.163,0.116,0.114,0.112,0.112,0.051,0.077,0.048,0.034,0.045,0.029,0.078,,,,,,,,,,,,,,,,,,,,,,,
largelid2.m4a,Pot Lid,267g,11.5 cm,,0.0017655375,Wood Bench,0.256,0.203,0.188,0.166,0.07,0.096,0.146,0.147,0.151,0.113,0.122,0.117,0.067,0.132,0.091,0.066,0.063,0.082,,,,,,,,,,,,,,,,,,,,,,,,,
largelid3.m4a,Pot Lid,267g,11.5 cm,,0.0017655375,Wood Bench,0.268,0.231,0.198,0.224,0.148,0.17,0.158,0.154,0.124,0.134,0.147,0.117,0.117,0.118,0.088,0.138,0.08,0.1,0.067,0.083,,,,,,,,,,,,,,,,,,,,,,,
tapesmallrad1.m4a,Tape,80g,"5cm, 3.75cm",2.4cm,1.56E-04,Wood Bench,0.178,0.225,0.207,0.156,0.189,0.152,0.165,0.142,0.149,0.122,0.128,0.119,0.104,0.096,0.099,0.066,0.08,0.058,0.047,0.046,0.044,,,,,,,,,,,,,,,,,,,,,,
tapesmallrad2.m4a,Tape,80g,"5cm, 3.75cm",2.4cm,1.56E-04,Wood Bench,0.172,0.166,0.213,0.233,0.207,0.17,0.21,0.199,0.148,0.18,0.168,0.156,0.147,0.158,0.135,0.128,0.125,0.112,0.12,0.098,0.097,0.089,0.071,0.074,0.079,0.044,0.052,0.039,,,,,,,,,,,,,,,